"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003455565.1, s__UBA11358 sp0034555...","49.41","0.9489880067","-"
"bin.003.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__","-","-","-","-","-","GCA_013288745.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp013288745","81.83","0.54","taxonomic classification defined by topology and ANI","-","-","20.45","0.9802597703","-"
"bin.006.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","44.23","0.9516674621","-"
"bin.007.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_903970555.1, s__Dyella sp903970555...","13.22","0.9825123062","-"
"bin.009.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_000178955.2, s__Granulicella_A mal...","46.73","0.9918755007","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.011.fa","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","84.85","0.803787579","-"
"bin.012.fa","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_010727945.1, s__Mycobacterium cook...","10.14","0.9810443193","Genome domain questionable ( 10.8% Bacterial, 1.6% Archaeal)"
"bin.013.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","29.66","0.8724929273","-"
"bin.014.fa","d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__","-","-","-","-","-","GCA_003136635.1","d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__Bog-1183 sp003136635","82.62","0.68","taxonomic classification defined by topology and ANI","-","GCA_013286205.1, s__Bog-1183 sp0132862...","19.5","0.9717906045","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.017.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","20.73","0.8973362273","-"
