Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.001	k__Bacteria	5449	101	57	92	8	1	0	0	0	15.79	1.75
bin.002	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.003	k__Bacteria	924	151	101	56	94	1	0	0	0	58.02	0.11
bin.004	k__Bacteria	88	230	148	30	196	4	0	0	0	86.08	1.27
bin.005	k__Bacteria	924	160	109	51	108	1	0	0	0	70.81	0.1
bin.006	k__Bacteria	5449	104	58	71	30	3	0	0	0	41.38	5.17
bin.007	k__Bacteria	5449	104	58	76	28	0	0	0	0	37.41	0.0
bin.008	k__Bacteria	924	151	101	38	113	0	0	0	0	68.37	0.0
bin.009	k__Bacteria	2258	187	116	37	143	7	0	0	0	77.59	4.42
bin.010	k__Bacteria	5449	101	57	93	8	0	0	0	0	14.04	0.0
bin.011	k__Bacteria	5449	104	58	93	11	0	0	0	0	8.93	0.0
bin.012	k__Bacteria	2258	188	117	83	105	0	0	0	0	52.7	0.0
bin.013	k__Archaea	207	149	107	106	32	10	1	0	0	29.83	9.35
bin.014	c__Alphaproteobacteria	564	348	229	205	127	14	2	0	0	41.89	6.22
bin.015	root	5656	56	24	55	1	0	0	0	0	4.17	0.0
bin.016	k__Bacteria	5449	104	58	83	21	0	0	0	0	24.26	0.0
bin.017	k__Bacteria	5449	104	58	39	32	32	1	0	0	85.11	51.03
bin.018	c__Deltaproteobacteria	83	247	155	78	159	10	0	0	0	67.39	2.2
bin.019	k__Bacteria	924	151	101	28	122	1	0	0	0	74.26	0.99
bin.020	k__Bacteria	2993	143	89	101	42	0	0	0	0	31.01	0.0
bin.021	k__Bacteria	2258	188	117	115	69	1	2	1	0	37.82	4.7
bin.022	k__Bacteria	88	230	148	138	90	2	0	0	0	44.23	1.35
bin.023	k__Bacteria	2258	188	117	87	98	3	0	0	0	43.95	1.08
bin.024	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.025	k__Bacteria	433	273	183	119	103	49	2	0	0	64.61	24.56
bin.026	k__Bacteria	5449	104	58	23	27	17	11	12	14	85.34	151.9
bin.027	k__Bacteria	901	171	117	95	74	2	0	0	0	40.16	1.28
bin.028	c__Gammaproteobacteria	1164	275	174	53	220	2	0	0	0	78.29	0.61
bin.029	o__Rhizobiales	107	485	316	185	290	10	0	0	0	61.52	1.41
bin.030	k__Bacteria	5449	104	58	76	27	1	0	0	0	37.93	1.72
bin.031	k__Bacteria	5449	104	58	89	15	0	0	0	0	24.14	0.0
bin.032	k__Bacteria	2993	143	89	95	48	0	0	0	0	26.73	0.0
bin.033	k__Bacteria	138	338	246	203	126	9	0	0	0	39.72	3.25
bin.034	k__Bacteria	5449	104	58	57	45	2	0	0	0	63.06	3.45
bin.035	k__Bacteria	5449	104	58	73	26	5	0	0	0	43.97	8.62
bin.036	k__Bacteria	5449	104	58	0	2	15	22	25	40	100.0	339.28
bin.037	k__Bacteria	2921	143	88	35	99	7	2	0	0	74.83	7.52
bin.038	k__Bacteria	88	230	148	61	158	11	0	0	0	66.81	3.91
bin.039	k__Bacteria	5449	103	57	98	5	0	0	0	0	7.89	0.0
bin.040	k__Bacteria	5449	104	58	2	32	51	18	1	0	97.41	82.73
bin.041	k__Bacteria	138	338	246	245	93	0	0	0	0	25.53	0.0
bin.042	k__Bacteria	5449	104	58	98	6	0	0	0	0	10.34	0.0
