"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_014201825.1, s__Acidocella aromati...","92.22","0.9511273098","-"
"bin.002.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_000026125.1, s__Herminiimonas arse...","60.33","0.9795153972","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.003.fa","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__","-","-","-","-","-","GCA_003139415.1","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__Palsa-1150 sp003139415","78.53","0.43","taxonomic classification defined by topology and ANI","-","GCA_003153495.1, s__Palsa-1150 sp00315...","80.54","0.9313915133","-"
"bin.004.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003139955.1, s__UBA11358 sp0031399...","58.29","0.9462087445","-"
"bin.005.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_903895255.1, s__UBA11358 sp9038952...","63.59","0.9443820445","-"
"bin.006.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__PALSA-1337;s__","-","-","-","-","-","GCA_003151615.1","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__PALSA-1337;s__PALSA-1337 sp003151615","80.31","0.53","taxonomic classification defined by topology and ANI","-","-","58.75","0.9539934144","-"
"bin.007.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","81.52","0.8312273909","-"
"bin.009.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__","-","-","-","-","-","GCF_009765995.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp009765995","81.35","0.58","taxonomic classification defined by topology and ANI","-","GCA_004799435.1, s__Roseiarcus sp00479...","52.57","0.9725637415","-"
"bin.010.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__","-","-","-","-","-","GCA_003167055.1","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__Aquilonibacter stordalenmirensis","81.52","0.6","taxonomic classification defined by topology and ANI","-","-","33.15","0.9682557107","-"
"bin.011.fa","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","84.85","0.803787579","-"
"bin.012.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","GCA_003140785.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003140785","77.99","0.33","taxonomic classification defined by topology and ANI","-","GCA_002314435.1, s__Terracidiphilus sp...","74.39","0.95417568","-"
"bin.013.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__","-","-","-","-","-","GCF_009766105.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__Granulicella_A sp009766105","91.77","0.78","taxonomic classification defined by topology and ANI","-","GCF_000178955.2, s__Granulicella_A mal...","63.37","0.990436734","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.014.fa","d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__","-","-","-","-","-","GCA_003136635.1","d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__Bog-1183 sp003136635","82.46","0.58","taxonomic classification defined by topology and ANI","-","GCA_013286205.1, s__Bog-1183 sp0132862...","46.52","0.9790877841","Genome has more than 22.5% of markers with multiple hits"
"bin.015.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","32.94","0.8503732758","-"
"bin.016.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003455565.1, s__UBA11358 sp0034555...","52.02","0.9495620749","-"
"bin.017.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_903878805.1, s__UBA11358 sp9038788...","79.02","0.9301772413","-"
"bin.018.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__JABEUT01;s__","-","-","-","-","-","GCA_013288205.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__JABEUT01;s__JABEUT01 sp013288205","79.72","0.48","taxonomic classification defined by topology and ANI","-","GCA_903916255.1, s__JABEUT01 sp9039162...","80.52","0.9590519808","-"
"bin.019.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","58.65","0.9553694344","-"
"bin.008.fa","d__Archaea;p__Huberarchaeota;c__Huberarchaeia;o__Huberarchaeales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","31.11","0.4066718991","-"
