	bin	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
0	bin.001	5237627	24	53	NODE_1_length_875661_cov_21.507197	875661		Bacteria?		Bacteria?	4376350.0	83.0
1	bin.002	93112	0	58	NODE_1971_length_6856_cov_3.737980	6856		Bacteria?		Bacteria?	87379.0	93.0
2	bin.003	1917184	13	64	NODE_441_length_23004_cov_3.521068	23004		Bacteria?		Bacteria?	1832621.0	95.0
3	bin.004	244577	10	51	NODE_358_length_26347_cov_4.093146	26347	0.84	dsDNAphage	|full	dsDNAphage	232917.0	95.0
4	bin.005	2387371	4	46	NODE_297_length_30874_cov_4.573575	30874		Bacteria?		Bacteria?	2303383.0	96.0
5	bin.006	2077213	3	54	NODE_164_length_48092_cov_4.292025	48092		Bacteria?		Bacteria?	1963987.0	94.0
6	bin.007	800667	1	53	NODE_30_length_154766_cov_5.869156	154766		Bacteria?		Bacteria?	762362.0	95.0
7	bin.008	4747890	23	34	NODE_9_length_318351_cov_27.959192	318351	0.9	dsDNAphage	|0_partial	Bacteria?	4260204.0	89.0
8	bin.009	547148	0	57	NODE_28_length_157178_cov_10.344596	157178		Bacteria?		Bacteria?	547148.0	100.0
9	bin.010	3831607	4	63	NODE_7_length_366519_cov_10.987767	366519		Bacteria?		Bacteria?	3745989.0	97.0
10	bin.011	735060	0	35	NODE_428_length_23598_cov_3.501805	23598		Bacteria?		Bacteria?	521023.0	70.0
11	bin.012	7131976	37	61	NODE_34_length_130996_cov_5.197547	130996		Bacteria?		Bacteria?	6808826.0	95.0
12	bin.013	854348	31	32	NODE_199_length_42863_cov_5.817534	42863	0.993	dsDNAphage	|full	Bacteria?	615739.0	72.0
13	bin.014	216371	14	49	NODE_17_length_216371_cov_18.980394	216371	1.0	dsDNAphage	|full	dsDNAphage	216371.0	100.0
14	bin.015	203278	18	52	NODE_661_length_15886_cov_4.048891	15886	1.0	dsDNAphage	|full	dsDNAphage	177709.0	87.0
15	bin.016	4719231	23	53	NODE_110_length_63050_cov_4.657020	63050		Bacteria?		Bacteria?	4513128.0	95.0
16	bin.017	4645902	7	38	NODE_15_length_231890_cov_7.339034	231890		Bacteria?		Bacteria?	4584966.0	98.0
17	bin.018	7139742	34	62	NODE_224_length_39336_cov_4.884142	39336		Bacteria?		Bacteria?	6787535.0	95.0
18	bin.unbinned	3295419	177	52	NODE_20_length_188594_cov_19.154260	188594		Bacteria?				
