	seqname	bin	max_contigLen	max_score	max_contigLenGroup	full-partial
13247	NODE_13248_length_8543_cov_3.265434	bin.001	8543		Bacteria?	
13093	NODE_13094_length_8610_cov_3.039977	bin.002	8610		Bacteria?	
11719	NODE_11720_length_9340_cov_7.842219	bin.003	9340		Bacteria?	
12156	NODE_12157_length_9097_cov_3.697633	bin.004	9097		Bacteria?	
7879	NODE_7880_length_12338_cov_3.740047	bin.005	12338	1.0	dsDNAphage	|full
8514	NODE_8515_length_11691_cov_3.149450	bin.006	11691		Bacteria?	
498	NODE_499_length_61049_cov_9.771650	bin.007	61049		Bacteria?	
12338	NODE_12339_length_8984_cov_2.891477	bin.008	8984		Bacteria?	
481	NODE_482_length_62104_cov_6.460040	bin.009	62104		Bacteria?	
1124	NODE_1125_length_41795_cov_5.722784	bin.010	41795		Bacteria?	
17678	NODE_17679_length_6981_cov_2.438059	bin.011	6981		Bacteria?	
73	NODE_74_length_150404_cov_7.386494	bin.012	150404		Bacteria?	
45	NODE_46_length_179541_cov_45.640083	bin.013	179541		Bacteria?	
4	NODE_5_length_353616_cov_10.504216	bin.014	353616		Bacteria?	
60	NODE_61_length_161929_cov_5.296051	bin.015	161929		Bacteria?	
12	NODE_13_length_285026_cov_8.358107	bin.016	285026	0.907	NCLDV	|0_partial
4846	NODE_4847_length_17176_cov_3.938205	bin.017	17176	0.987	dsDNAphage	|full
12079	NODE_12080_length_9138_cov_2.941319	bin.018	9138		Bacteria?	
21	NODE_22_length_234673_cov_9.044660	bin.019	234673	1.0	dsDNAphage	|full
2	NODE_3_length_440350_cov_109.518941	bin.020	440350		Bacteria?	
594	NODE_595_length_56941_cov_6.074166	bin.021	56941		Bacteria?	
365	NODE_366_length_70460_cov_5.998977	bin.022	70460	0.907	dsDNAphage	|full
3707	NODE_3708_length_20494_cov_4.516170	bin.023	20494		Bacteria?	
1845	NODE_1846_length_31698_cov_4.393515	bin.024	31698		Bacteria?	
444	NODE_445_length_64657_cov_10.349927	bin.025	64657		Bacteria?	
18677	NODE_18678_length_6727_cov_2.848022	bin.026	6727	0.567	NCLDV	|full
3698	NODE_3699_length_20524_cov_4.108212	bin.027	20524		Bacteria?	
142	NODE_143_length_112630_cov_11.552423	bin.028	112630		Bacteria?	
1131	NODE_1132_length_41527_cov_5.533179	bin.029	41527		Bacteria?	
817	NODE_818_length_48704_cov_4.316862	bin.030	48704		Bacteria?	
9029	NODE_9030_length_11238_cov_3.541715	bin.031	11238		Bacteria?	
26	NODE_27_length_218988_cov_8.066929	bin.032	218988		Bacteria?	
8235	NODE_8236_length_11963_cov_5.138058	bin.033	11963	0.993	dsDNAphage	|full
2368	NODE_2369_length_27180_cov_7.700276	bin.034	27180		Bacteria?	
2265	NODE_2266_length_27949_cov_4.346813	bin.035	27949		Bacteria?	
8725	NODE_8726_length_11492_cov_3.029641	bin.036	11492		Bacteria?	
1555	NODE_1556_length_34934_cov_4.738553	bin.037	34934	0.98	dsDNAphage	|full
5909	NODE_5910_length_15051_cov_4.727061	bin.038	15051		Bacteria?	
2142	NODE_2143_length_28991_cov_4.280550	bin.039	28991	0.733	dsDNAphage	|full
1329	NODE_1330_length_38641_cov_8.189758	bin.040	38641		Bacteria?	
2152	NODE_2153_length_28890_cov_13.840610	bin.041	28890		Bacteria?	
56	NODE_57_length_164819_cov_6.992383	bin.042	164819		Bacteria?	
1220	NODE_1221_length_40011_cov_6.370758	bin.043	40011		Bacteria?	
25	NODE_26_length_220879_cov_17.388758	bin.044	220879		Bacteria?	
1824	NODE_1825_length_31939_cov_5.773303	bin.045	31939	0.92	dsDNAphage	|full
676	NODE_677_length_54066_cov_5.017478	bin.046	54066	1.0	dsDNAphage	|full
5471	NODE_5472_length_15851_cov_4.268106	bin.047	15851		Bacteria?	
5330	NODE_5331_length_16154_cov_3.373626	bin.048	16154		Bacteria?	
207	NODE_208_length_91522_cov_7.483005	bin.049	91522		Bacteria?	
29	NODE_30_length_216371_cov_49.359141	bin.050	216371	1.0	dsDNAphage	|full
725	NODE_726_length_52120_cov_5.907865	bin.051	52120		Bacteria?	
183	NODE_184_length_99103_cov_12.889660	bin.052	99103	0.987	dsDNAphage	|full
5705	NODE_5706_length_15387_cov_3.718497	bin.053	15387		Bacteria?	
101	NODE_102_length_126058_cov_12.257446	bin.054	126058		Bacteria?	
266	NODE_267_length_81548_cov_8.579731	bin.055	81548		Bacteria?	
