	bin	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
0	bin.001	232828	0	54	NODE_13248_length_8543_cov_3.265434	8543		Bacteria?		Bacteria?	203553.0	87.0
1	bin.002	124581	0	65	NODE_13094_length_8610_cov_3.039977	8610		Bacteria?		Bacteria?	124581.0	100.0
2	bin.003	146810	0	62	NODE_11720_length_9340_cov_7.842219	9340		Bacteria?		Bacteria?	126621.0	86.0
3	bin.004	230550	0	65	NODE_12157_length_9097_cov_3.697633	9097		Bacteria?		Bacteria?	214247.0	92.0
4	bin.005	160154	3	63	NODE_7880_length_12338_cov_3.740047	12338	1.0	dsDNAphage	|full	Bacteria?	129504.0	80.0
5	bin.006	717231	2	39	NODE_8515_length_11691_cov_3.149450	11691		Bacteria?		Bacteria?	624882.0	87.0
6	bin.007	4674284	0	68	NODE_499_length_61049_cov_9.771650	61049		Bacteria?		Bacteria?	4628116.0	99.0
7	bin.008	33774	0	63	NODE_12339_length_8984_cov_2.891477	8984		Bacteria?		Bacteria?	33774.0	100.0
8	bin.009	800982	10	54	NODE_482_length_62104_cov_6.460040	62104		Bacteria?		Bacteria?	573238.0	71.0
9	bin.010	1247495	4	51	NODE_1125_length_41795_cov_5.722784	41795		Bacteria?		Bacteria?	1070235.0	85.0
10	bin.011	41117	0	60	NODE_17679_length_6981_cov_2.438059	6981		Bacteria?		Bacteria?	41117.0	100.0
11	bin.012	4884450	16	60	NODE_74_length_150404_cov_7.386494	150404		Bacteria?		Bacteria?	4835869.0	99.0
12	bin.013	606032	0	51	NODE_46_length_179541_cov_45.640083	179541		Bacteria?		Bacteria?	606032.0	100.0
13	bin.014	1863504	0	63	NODE_5_length_353616_cov_10.504216	353616		Bacteria?		Bacteria?	1863504.0	100.0
14	bin.015	4850605	2	61	NODE_61_length_161929_cov_5.296051	161929		Bacteria?		Bacteria?	4817440.0	99.0
15	bin.016	285026	2	47	NODE_13_length_285026_cov_8.358107	285026	0.907	NCLDV	|0_partial	NCLDV	285026.0	100.0
16	bin.017	138166	3	30	NODE_4847_length_17176_cov_3.938205	17176	0.987	dsDNAphage	|full	dsDNAphage	116944.0	84.0
17	bin.018	179643	0	63	NODE_12080_length_9138_cov_2.941319	9138		Bacteria?		Bacteria?	168312.0	93.0
18	bin.019	234673	12	30	NODE_22_length_234673_cov_9.044660	234673	1.0	dsDNAphage	|full	dsDNAphage	234673.0	100.0
19	bin.020	4396232	4	63	NODE_3_length_440350_cov_109.518941	440350		Bacteria?		Bacteria?	4261696.0	96.0
20	bin.021	1548596	1	49	NODE_595_length_56941_cov_6.074166	56941		Bacteria?		Bacteria?	1394274.0	90.0
21	bin.022	5291034	16	62	NODE_366_length_70460_cov_5.998977	70460	0.907	dsDNAphage	|full	Bacteria?	4933562.0	93.0
22	bin.023	891049	0	62	NODE_3708_length_20494_cov_4.516170	20494		Bacteria?		Bacteria?	877340.0	98.0
23	bin.024	1651863	3	61	NODE_1846_length_31698_cov_4.393515	31698		Bacteria?		Bacteria?	1626579.0	98.0
24	bin.025	735991	0	62	NODE_445_length_64657_cov_10.349927	64657		Bacteria?		Bacteria?	735991.0	100.0
25	bin.026	46003	0	42	NODE_18678_length_6727_cov_2.848022	6727	0.567	NCLDV	|full	Bacteria?	22155.0	48.0
26	bin.027	546489	0	50	NODE_3699_length_20524_cov_4.108212	20524		Bacteria?		Bacteria?	527528.0	96.0
27	bin.028	471336	0	34	NODE_143_length_112630_cov_11.552423	112630		Bacteria?		Bacteria?	464552.0	98.0
28	bin.029	962689	1	45	NODE_1132_length_41527_cov_5.533179	41527		Bacteria?		Bacteria?	902668.0	93.0
29	bin.030	3328393	1	41	NODE_818_length_48704_cov_4.316862	48704		Bacteria?		Bacteria?	3205404.0	96.0
30	bin.031	168055	0	40	NODE_9030_length_11238_cov_3.541715	11238		Bacteria?		Bacteria?	168055.0	100.0
31	bin.032	15225398	43	57	NODE_27_length_218988_cov_8.066929	218988		Bacteria?		Bacteria?	14461233.0	94.0
32	bin.033	240012	8	64	NODE_8236_length_11963_cov_5.138058	11963	0.993	dsDNAphage	|full	Bacteria?	199976.0	83.0
33	bin.034	200872	0	62	NODE_2369_length_27180_cov_7.700276	27180		Bacteria?		Bacteria?	188558.0	93.0
34	bin.035	807762	1	35	NODE_2266_length_27949_cov_4.346813	27949		Bacteria?		Bacteria?	739915.0	91.0
35	bin.036	147707	0	39	NODE_8726_length_11492_cov_3.029641	11492		Bacteria?		Bacteria?	135947.0	92.0
36	bin.037	632608	8	37	NODE_1556_length_34934_cov_4.738553	34934	0.98	dsDNAphage	|full	Bacteria?	492402.0	77.0
37	bin.038	330779	13	66	NODE_5910_length_15051_cov_4.727061	15051		Bacteria?		Bacteria?	247531.0	74.0
38	bin.039	269659	7	38	NODE_2143_length_28991_cov_4.280550	28991	0.733	dsDNAphage	|full	dsDNAphage	159119.0	59.0
39	bin.040	625317	0	47	NODE_1330_length_38641_cov_8.189758	38641		Bacteria?		Bacteria?	454544.0	72.0
40	bin.041	855570	6	60	NODE_2153_length_28890_cov_13.840610	28890		Bacteria?		Bacteria?	796080.0	93.0
41	bin.042	77342142	394	58	NODE_57_length_164819_cov_6.992383	164819		Bacteria?		Bacteria?	71671264.0	92.0
42	bin.043	1295907	3	62	NODE_1221_length_40011_cov_6.370758	40011		Bacteria?		Bacteria?	1226926.0	94.0
43	bin.044	931206	0	51	NODE_26_length_220879_cov_17.388758	220879		Bacteria?		Bacteria?	931206.0	100.0
44	bin.045	3261521	37	35	NODE_1825_length_31939_cov_5.773303	31939	0.92	dsDNAphage	|full	Bacteria?	2443725.0	74.0
45	bin.046	347700	31	36	NODE_677_length_54066_cov_5.017478	54066	1.0	dsDNAphage	|full	dsDNAphage	319660.0	91.0
46	bin.047	170722	0	61	NODE_5472_length_15851_cov_4.268106	15851		Bacteria?		Bacteria?	149701.0	87.0
47	bin.048	360082	0	52	NODE_5331_length_16154_cov_3.373626	16154		Bacteria?		Bacteria?	327098.0	90.0
48	bin.049	2933075	4	62	NODE_208_length_91522_cov_7.483005	91522		Bacteria?		Bacteria?	2869627.0	97.0
49	bin.050	216371	14	49	NODE_30_length_216371_cov_49.359141	216371	1.0	dsDNAphage	|full	dsDNAphage	216371.0	100.0
50	bin.051	2219984	2	58	NODE_726_length_52120_cov_5.907865	52120		Bacteria?		Bacteria?	2116948.0	95.0
51	bin.052	9625335	13	61	NODE_184_length_99103_cov_12.889660	99103	0.987	dsDNAphage	|full	Bacteria?	9433257.0	98.0
52	bin.053	617921	0	41	NODE_5706_length_15387_cov_3.718497	15387		Bacteria?		Bacteria?	531195.0	85.0
53	bin.054	3251551	7	62	NODE_102_length_126058_cov_12.257446	126058		Bacteria?		Bacteria?	3147274.0	96.0
54	bin.055	2779932	1	67	NODE_267_length_81548_cov_8.579731	81548		Bacteria?		Bacteria?	2756587.0	99.0
55	bin.056	14088160	8	60	NODE_66_length_156258_cov_7.113468	156258		Bacteria?		Bacteria?	13946800.0	98.0
56	bin.057	243143	10	50	NODE_209_length_91504_cov_5.160166	91504	1.0	dsDNAphage	|full	dsDNAphage	243143.0	100.0
57	bin.058	856844	0	52	NODE_14_length_268503_cov_30.224923	268503		Bacteria?		Bacteria?	856844.0	100.0
58	bin.059	797528	0	50	NODE_275_length_80665_cov_9.758033	80665		Bacteria?		Bacteria?	782558.0	98.0
59	bin.060	798180	0	44	NODE_2415_length_26808_cov_4.106941	26808		Bacteria?		Bacteria?	742065.0	92.0
60	bin.061	1326050	0	62	NODE_3368_length_21748_cov_3.451021	21748		Bacteria?		Bacteria?	1293901.0	97.0
61	bin.062	9968137	14	57	NODE_31_length_213621_cov_14.494868	213621		Bacteria?		Bacteria?	9527592.0	95.0
62	bin.063	263479	1	37	NODE_190_length_96656_cov_7.650469	96656		Bacteria?		Bacteria?	151874.0	57.0
63	bin.064	10849021	23	62	NODE_12_length_297226_cov_10.909298	297226		Bacteria?		Bacteria?	10470272.0	96.0
64	bin.065	1568397	8	40	NODE_5375_length_16045_cov_4.129644	16045		Bacteria?		Bacteria?	1419078.0	90.0
65	bin.066	540467	18	41	NODE_118_length_119682_cov_6.306896	119682	0.92	dsDNAphage	|full	dsDNAphage	419714.0	77.0
66	bin.067	923595	0	54	NODE_42_length_185913_cov_21.045357	185913		Bacteria?		Bacteria?	910206.0	98.0
67	bin.068	1748562	0	44	NODE_377_length_69662_cov_7.846768	69662		Bacteria?		Bacteria?	1726259.0	98.0
68	bin.069	2969007	0	54	NODE_23_length_228427_cov_26.443338	228427		Bacteria?		Bacteria?	2944252.0	99.0
69	bin.070	318430	0	39	NODE_6897_length_13533_cov_3.191349	13533		Bacteria?		Bacteria?	298693.0	93.0
70	bin.071	2100520	20	64	NODE_780_length_50273_cov_6.141423	50273	0.767	dsDNAphage	|full	Bacteria?	1839818.0	87.0
71	bin.072	848476	0	53	NODE_47_length_179531_cov_74.080752	179531		Bacteria?		Bacteria?	782275.0	92.0
72	bin.073	222349	13	36	NODE_2834_length_24335_cov_4.194687	24335	0.993	dsDNAphage	|full	dsDNAphage	177110.0	79.0
73	bin.074	21406726	44	61	NODE_33_length_210887_cov_12.025300	210887		Bacteria?		Bacteria?	20660098.0	96.0
