"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.002.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA6065;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","54.08","0.8288364817","-"
"bin.004.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__JABEUT01;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_013288205.1, s__JABEUT01 sp0132882...","16.6","0.9174097898","-"
"bin.006.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","44.69","0.8774720632","-"
"bin.007.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.8","0.878127231","-"
"bin.008.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","38.36","0.9425733737","Genome has more than 14.2% of markers with multiple hits"
"bin.010.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA10103;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","39.43","0.9264880332","Genome has more than 10.0% of markers with multiple hits"
"bin.011.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__","-","-","-","-","-","GCF_001584185.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__Collimonas pratensis","93.14","0.89","taxonomic classification defined by topology and ANI","-","GCF_002564105.1, s__Collimonas sp00256...","24.68","0.9985782476","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.012.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","31.94","0.8470209828","Genome has more than 12.5% of markers with multiple hits"
"bin.014.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__","-","-","-","-","-","GCA_003140665.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447 sp003140665","79.46","0.47","taxonomic classification defined by topology and ANI","-","GCA_003164715.1, s__Palsa-1447 sp00316...","24.24","0.9712853612","-"
"bin.015.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","GCA_003133815.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815","82.94","0.49","taxonomic classification defined by topology and ANI","-","GCA_003139955.1, s__UBA11358 sp0031399...","59.36","0.9612359092","Genome has more than 16.7% of markers with multiple hits"
"bin.016.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","24.38","0.8693814305","-"
"bin.017.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__","-","-","-","-","-","GCF_903832005.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella aerosaccus_B","84.03","0.31","taxonomic classification defined by topology and ANI","-","GCF_903915535.1, s__Reyranella aerosac...","16.56","0.979720293","-"
"bin.018.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","91.5","0.924730602","-"
"bin.019.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_903897605.1, s__Rhizomicrobium sp9...","11.26","0.9439447386","-"
"bin.020.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","41.04","0.8766950545","-"
"bin.021.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","GCA_003133815.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815","80.25","0.5","taxonomic classification defined by topology and ANI","-","GCA_003139955.1, s__UBA11358 sp0031399...","21.18","0.9575336071","-"
