"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","46.67","0.8397443697","-"
"bin.002.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","27.52","0.870492481","-"
"bin.003.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_009766065.1, s__Rhodanobacter sp00...","25.11","0.9861274025","Genome has more than 55.0% of markers with multiple hits"
"bin.005.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__","-","-","-","-","-","GCA_003165495.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003165495","80.59","0.29","taxonomic classification defined by topology and ANI","-","GCA_003134045.1, s__Bog-1198 sp0031340...","19.06","0.9817840418","-"
"bin.006.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__","-","-","-","-","-","GCF_001544555.2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia udeis","92.84","0.54","taxonomic classification defined by topology and ANI","-","GCA_001190015.1, s__Caballeronia crena...","28.21","0.9957875709","-"
"bin.008.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6186;f__UBA6186;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","22.39","0.7339647464","-"
"bin.009.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.96","0.8379875088","-"
"bin.010.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__JABEUX01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","10.4","0.8772275299","Genome has more than 85.8% of markers with multiple hits;Genome domain questionable ( 10.8% Bacterial, 2.5% Archaeal)"
"bin.012.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","33.15","0.9419332651","-"
"bin.013.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__","-","-","-","-","-","GCA_903875345.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345","76.77","0.21","taxonomic classification defined by topology and ANI","-","-","49.49","0.8883167969","-"
